Unnamed: 0,ID,Prix,Un. rés.,Rev. brut. pot.,YearBuilt,Type de bâtiment,Dimensions du bâtiment,Éval. terrain,Superficie habitable,Éval. bâtiment,Dimensions du terrain,Cert. de localisation,Superficie du terrain,Plan d'eau,Piscine,Stationnement (total),Chauffage,Eau (accès),Foyers-Poêles,Équip./Serv.,Rénovations,Inclusions,Exclusions,Remarques - Courtier,Addenda,Nbre pièces,Nbre chambres (hors-sol + sous-sol),Nbre salles de bains + salles d'eau
108,109,912 500 $,3,57 600 $,Triplex dans le quartier Hochelaga-Maisonneuve construit en 1910,En rangée,"25 X 40,6 p irr / 7,62 X 12,35 m irr",223 100 $,,324 100 $,,Oui (2011),"2 668,37 pc /    247,9 mc",,,,"Eau chaude, Plinthes électriques, *Eau chaude au RDC seulement",,,,,"Tous les électroménagers, tous les meubles laissés sur place et les stores et rideaux faits sur mesure.",,"Hochelaga | Superbe triplex bénéficiant de récentes rénovations majeures offrant trois grandes unités, et ce, à quelques pas du métro, des services et des attractions. Bienvenue dans ce triplex au style montréalais aux trois unités revampées qui offrent toutes : un salon spacieux, 2 CAC de belle taille, 1 SDB rénovée, une entrée laveuse, un plancher de bois ou parqueterie, deux immenses portes-patios donnant accès à un large balcon arrière -- tout {façade, portes, fenêtres, plancher, toit, électricité et plomberie} a été refait. Un bel investissement dans un quartier en pleine ébullition!","[LA PROPRIÉTÉ]Chaque unité a énormément à offrir : Plafonds hauts de 8 pieds 7 pouces2 chambres à coucher confortables avec garde-robe dont une pièce double permettant un bureau à domicileSalon spacieux Cuisine pratique avec beaucoup de rangement ; le tout, ouvert sur la salle à manger - cuisinière au gaz au rez-de-chaussée et cuisine du 3e étage récemment rénovéeSalle de bain moderne au plancher de céramique et munie d'un bain-douche (Unité 2182 et 2186 récemment rénovées) Deux immenses portes-patios donnant accès au balcon arrière ; balcon à l'avant également! Sous-sol très propre sur dalle de béton où vous trouverez du rangement et la salle mécanique Le RDC est chauffé par un système à l'eau chaude alimenté au gaz tandis que les autres unités utilisent des plinthes reliés à leurs panneaux électriques respectifs(Chauffage aux frais des locataires)[TRAVAUX EFFECTUÉS] Le triplex a subi plusieurs rénovations professionnelles au cours des dernières années -- factures et preuves à l'appui pour les travaux effectués depuis l'acquisition:Pour le triplex entier : Plomberie, filage et panneau électrique, insonorisation et isolation de l'entre toit -- 2015Réfection de la toiture -- 2015Installation d'une sump-pump -- 2015 Amélioration à la fondation -- 2015 Fenêtres de façade (Aluminium et bois) -- 2016Portes d'entrée (Acier) -- 20166 Portes-patios (Aluminium et PVC) -- 2016 -- 2 portes-patios surdimensionnées de 7 pieds 9 pouces par logement Mise à niveau des planchers et réparation des soffites-fascias -- 2015 Travaux sur le mur arrière -- 2015 Cheminée chemisée en acier inoxydable -- 2009Refonte du crépi et des joints -- 1998 Remplacement du chauffe-eau au gaz pour de l'électrique -- 1998[L'EMPLACEMENT]L'unité est située dans Hochelaga, reconnu pour son ébullition et son charme nouveau. Vous êtes à 5 minutes à pied de la station Joliette et à 10 minutes à pied de la station Préfontaine, idéal pour accéder au coeur de la ville en moins de 20 minutes. De plus, l'unité est à 15 minutes en voiture du Centre-Ville de Montréal. Dans ce charmant quartier, vous êtes entourés de plusieurs espaces verts : Parc Raymond-Préfontaine, Parc Maisonneuve, Parc Lalancette, Parc Hochelaga. Emplacement de choix, proche de tous les commerces, services et attractions : - Épiceries (Métro, Maxi, Provigo), pharmacies et banques- Hôpitaux et CLSC à proximité (De Rosemont et Hochelaga-Maisonneuve) - Rue Ontario : accès à une foule de commerces, bars, restaurants et magasins - Le charmant Marché Maisonneuve est à 20 minutes de marche - Bike score : 97 (Paradis du cycliste!) Walk Score : 91 (Paradis du piéton) - Espace pour la vie à proximité : Biodôme, Insectarium, Planétarium + Stade Olympique",5.0,2.0,1+0
109,110,724 000 $,2,28 800 $,Duplex dans le quartier Hochelaga-Maisonneuve construit en 1950,En rangée,"24 X 35,3 p irr / 7,32 X 10,74 m irr",222 100 $,,253 400 $,"24 X 110,8 p irr / 7,32 X 33,73 m irr",Oui (1985),"2 655,6 pc /    246,71 mc",,,Allée (3),"Eau chaude, Plinthes électriques",,,,,"AU 2444: Luminaires, Ilot dans la cuisine et lave vaisselle.",Aux 2444 et 2446 effets personnels du vendeur et locataire.,"Duplex avec un 7 1/2 au RDC avec 2 autres chambres au sous-sol. Un 5 1/2 (salon double) au deuxième étage. Grande possibilité de faire un troisième appartement au sous-sol pour optimiser les revenus ou pour la revente puisqu'après optimisation plus ou moins 800k ou encore en faire une propriété unifamiliale. Grande cours avec 3 stationnements à l'arrière. Balcons (fibre de verre) avants et arrières pour les deux logements. Situé sur rue tranquille et près de tous les services dont les transports en commun et à deux minutes de marche du métro Joliette.. Très belle opportunité, à qui la chance!!!","-Duplex situé près des services dont les transports en commun à deux minutes de marche du métro Joliette.-Plusieurs améliorations au fils des ans comme changement de la plupart des fenêtres, de la porte avant et balcons en fibre de verre. -Les visites se tiendront le 1 avril 22 de 16h00 à 19h00, les 2 et 3 avril 22 de 12h00 à 17h00 et le 4 avril 22 de 16h00 à 19h00.",5.0,2.0,1+0
110,111,870 000 $,3,38 280 $,Triplex dans le quartier Hochelaga-Maisonneuve construit en 1955,En rangée,"28,10 X 42,4 p / 8,79 X 12,9 m",358 600 $,,563 900 $,"28,10 X 111,6 p irr / 8,79 X 33,99 m irr",Oui (2023),"3 216,26 pc /    298,8 mc",,,"Allée (1), Garage (1)",Plinthes électriques,,,Thermopompe murale,,"Pôles à rideaux, système d'irrigation, système d'éclairage extérieur. Dans les 2 logements; cuisinière, frigo, Laveuse/sécheuse combinée.",Effets personnels des locataires,"Triplex de 29' X 42', bien entretenu, situé dans le secteur très en demande, à pied du métro Joliette, Collège de Maisonneuve et les Shop Angus.On y retrouve 2 ch. à l'étage + un grand bureau (ou 3e ch.). Un grand sous sol lumineux avec plafond d'environ 8' qui a été entièrement dégarni suite au pieutage et drain d'évacuation sont neuf (2021). Il y a une salle d'eau et entrée lav/sech et l'accès au garage et le reste de l'espace est prêt à être aménagé à votre gout!!! Grande cour côté soleil, très intime. À proximité de tous les services. A ne pas manquer! Voisinage sympathique et en majorité propriétaire occupant.",Améliorations effectuées :Pieutage en 2021.Au 2604 : la cuisine a été refaite en 2012.Au 2602 : la cuisine a été refaire en 2020.Le patio en Permacon en 2014.Portes extérieures arrières remplacées en 2017.Plomberie souterraine a été remplacée (tous les drains en 2021).Moteur de la porte de garage remplacée en 2022.,6.0,2.0,1+0
111,112,834 000 $,3,54 000 $,Triplex dans le quartier Mercier construit en 1954,En rangée sur coin,"30 X 38 p / 9,15 X 11,58 m",325 200 $,,388 800 $,"100 X 50 p / 30,48 X 15,24 m",Oui (2016),"4 999,83 pc /    464,5 mc",,,Allée (2),Plinthes électriques,,,,,Les deux frigos (2317 et 2319) qui sont inclus aux baux. Dans le 2315 : lave-vaisselle et stores,"Effets personnels des locataires. Dans le 2315 : toutes les tablettes murales, meuble a chaussures, porte manteaux, toise, rideaux, TV au mur.",,"Bienvenus à Tétreaultville !** PROPRIÉTÉ **- 2x 3-1/2 à l'étage- Propriétaire occupant qui quitte au 1 er juillet 23 au RDC + SS- un 3-1/2 supplémentaire avec entrée indépendante aménager au sous-sol- 3 grandes chambres sur le même niveau + salle familiale - Disposition conviviale a air ouverte- Moderne et élégant- Grand atelier aménageable - 2 Salles de bain- 2 grandes galeries- 2 stationnements ** LOCALISATION **- École primaire à quelques pas- Écoles secondaires et garderies a proximité- Proche de tous les axes routiers- Distance de marche de la promenade Bellerive (et peut être de sa plage cet été !)- Distance de marche du futur REM (sous plein de réserves)- Galeries d'Anjou, Place Versailles ...- Proche de la vie de quartier qu'offre Hochelaga (café, magasin de décoration, magasins de vrac, vétérinaire, pharmacies ...)- Quartier positif ou il fait bon de vivre !",13.0,4.0,2+0
112,113,799 000 $,4,39 012 $,Quadruplex dans le quartier Mercier construit en 1953,Jumelé,"31 X 40,2 p irr / 9,45 X 12,24 m irr",232 300 $,,298 900 $,"50 X 100 p / 15,24 X 30,48 m",Oui (2012),"5 000,91 pc /    464,6 mc",,"Hors terre, Au locataire","Allée (2), Garage (1)",Plinthes électriques,,,,Revêtement de la toiture - 2019 (  20 150 $),Toutes inclusions prévues aux baux.,"Effets personnels des locataires. (Abri Tempo, piscine etc.)","SUPER QUADRUPLEX à seulement 15 min de marche du métro Honoré-Beaugrand. Immeuble de grande dimension ayant subit un entretien impeccable depuis l'acquisition avec sa toiture élastomère récente! De plus, le grand logement du RDC offre 3 CAC, salon double, garage, 2 stationnements (1 avant et arrière) et une immense cour ensoleillée. Cet immeuble offre aussi plusieurs opportunités avec les 2 logements de 1 CAC à l'étage avec de bons locataires ainsi que celui au sous-sol. Ce 4plex bien situé à Mercier est une occasion en or. Bienvenue!",,6.0,2.0,1+0
113,114,735 000 $,4,40 980 $,Quadruplex dans le quartier Mercier construit en 1925,En rangée,"25 X 40,5 p / 7,62 X 12,32 m",116 200 $,,286 300 $,"25 X 100 p / 7,62 X 30,48 m",Oui (2021),"2 500,46 pc /    232,3 mc",,,,Plinthes électriques,,,,,4 chauffe-eau (2013-2014) donné sans garantie légale de qualité,,"Immeuble loué idéal pour propriétaire occupant ou pour investissement avec potentiel d'optimisation des revenus. 4 logements de belle grandeur à proximité des écoles, de la station de métro Honoré-Beaugrand, des autoroutes, des garderies, des parcs et du centre d'achat Place Versailles. Cour arrière spacieuse. Noter que le notaire devra être Sara Messier, 369 boul. Lacombe, Repentigny, QC J5Z 1N5",,4.0,2.0,1+0
114,115,758 000 $,3,43 320 $,Triplex dans le quartier Mercier construit en 1944,Isolé (détaché),"30 X 40 p / 9,14 X 12,19 m",325 200 $,,373 200 $,"50 X 100 p / 15,24 X 30,48 m",Oui (2006),"5 000 pc /    464,52 mc",,,"Allée (3), Garage (1)",Plinthes électriques,,,Climatiseur mural,,"3 chauffe-eaux 2015, lave-vaisselle du logement 2920, cuisinière du logement 2920.",Biens des locataires.,"Triplex détenant 2 logements disponibles à l'acheteur (3 1/2 et 5 1/2 avec sous-sol) sur un grand terrain de 5 000 p2. Beaucoup de cachet, solarium 3 saisons dans chaque logement et situé dans un secteur tranquille près des écoles et du métro Honoré-Beaugrand. Avec seulement quelques rénovations, il sera parfait autant pour un propriétaire occupant que pour un investisseur.","Bienvenue au 2920-2924 rue Baldwin, à Montréal! Charmant triplex idéalement situé sur une rue tranquille et près de tous les services. Comprenant 2 logements libres immédiatement dont un 5 1/2 avec sous-sol et un 3 1/2, il sera idéal autant pour un propriétaire occupant que pour un investisseur!- Beau grand terrain de 5000p2- 1 solarium 3 saisons pour chacun des logements - À proximité des écoles, parcs et transports en commun - Rue tranquille et familialeIl suffit d'une seule visite et vous serez convaincu de tous le potentiel qu'offre ce triplex !",7.0,3.0,2+0
115,116,905 000 $,3,36 240 $,Triplex dans le quartier Mercier construit en 1960,Isolé (détaché),"30 X 49 p / 9,14 X 14,94 m",290 300 $,,461 300 $,"62,5 X 100 p / 19,02 X 30,48 m",Non,"6 247,2 pc /    580,38 mc",,Hors terre,Garage (1),Plinthes électriques,,,,,"Lave-vaisselle non-fonctionnel,luminaires, stores, rideaux, système d'alarme, réfrigérateur, piscine hors terre et accessoires,cascade d'eau,cabanon,toile d'auvent,tempo,air climatisé (fenêtre), thermopompe murale non-fonctionnel.",Biens des locataires.,"Triplex isolé 4 côtés brique situé dans un beau secteur près de tout.Le logement principal et un 3 1/2 sont disponibles à l'acheteur.Le logement principal a 3 chambres au RC avec possibilité de 4.Le sous-sol est vaste avec petite cuisinette,2 chambres,grande salle familiale et sortie extérieure à la cour.On y retrouve aussi un grand garde robe,une chambre froide et un garage.Grand terrain paysagé avec grande terrasse en pavé uni,bassin d'eau,cabanon,piscine hors terre et grande terrasse adjacente à la maison.Toiture 2010.Plusieurs fenêtres changées en 2007.Ne manquez pas cette opportunité d'investissement.","*Mesures de la grandeur du terrain selon les informations de la ville.Un nouveau certificat de localisation sera commandé*.Triplex bien entretenu ayant appartenu au même propriétaire depuis 1960.Grand terrain, ce qui est rare à Montréal, avec terrasse avec gazebo et piscine hors terre. Vous pourrez même y faire un beau grand jardin. Un petit bassin d'eau a été aménagé tout près d'un grand espace en pavé uni où vous pourrez y installer vos chaises d'été.Les pièces du rez-de-chaussée sont grandes et éclairées. Le sous-sol est vaste et offre plusieurs possibilités vu sa grandeur.La propriété vous offre:* 2 logements libres à l'acheteur* Garage 24x11.8* Cabanon* Piscine hors terre",8.0,5.0,2+0
116,117,960 000 $,4,57 840 $,Quadruplex dans le quartier Mercier construit en 1981,Jumelé,"30 X 46 p / 9,14 X 14,02 m",243 900 $,"3 009 pc /    279,55 mc",747 000 $,"37 X 98 p / 11,28 X 29,87 m",Oui (2022),"3 750 pc /    348,39 mc",,,"Allée (1), Garage (1)",,,,,,"Luminaire, Lave-vaisselle (fonctionne pas bien), Cabanon.",,,"Beau quadruplex intergénérationnel à vendre situé dans Mercier, tout près du grand parc Thomas-Chapais, de nombreux commerces, d'écoles et de garderies.Près de la rue Sherbrooke et à quelques minutes de voiture de l'accès à l'autoroute 25. Plusieurs possibilités de lignes d'autobus pour un accès facile au métro Honoré-Beaugrand et à la Place Versailles.Le logement du rez-de-chaussée comprend 3 belles chambres, dont les planchers sont en parqueterie. La chambre principale comprend une salle de bain adjacente. Celle-ci ainsi que le salon bénéficient chacun d'une grande fenêtre en baie, pour un maximum de luminosité tout au long de l'année.Les plafonds ont été faits sur mesure (8 pieds 1).Le sous-sol est complètement aménagé, et compte une grande salle familiale, une salle d'eau et une chambre froide. Le mur en bas est en bois d'origine. On y trouve une porte patio pour un accès direct à la cour. Le sous-sol donne également accès au garage. Il y a une possibilité de faire un logement bigénérationnel car on a accès au logement 3 1/2 par une porte du sous-sol. Celle-ci peut aussi être complètement barrée.La rampe d'escalier est faite en bois sur mesure par un ébéniste. Belle grande cour gazonnée et clôturée, avec un cabanon pour le rangement, et beaucoup d'espace pour aménager un potager et un espace terrasse.  Au centre de la cour, un grand pommier d'environ 200 ans apporte de l'ombre dans la chaleur de l'été ainsi que plusieurs pommes délicieuses et prêtes à manger. À l'étage se trouvent deux logements de 4 pièces 1/2.Au sous-sol, le logement de 3 pièces 1/2 comprend beaucoup de rangement, une entrée pour laveuse et sécheuse et une porte patio pour un accès direct à la cour. Celui-ci est fraîchement peinturé. Seul un des deux 4 1/2 est loué; les autres logements sont libres. Le 4 1/2 libre est fraîchement repeint.",6.0,3.0,2+1
117,118,900 000 $,4,52 500 $,Quadruplex dans le quartier Mercier construit en 1981,Jumelé,"31 X 46,1 p irr / 9,44 X 14,06 m irr",243 900 $,,740 700 $,"37,6 X 100 p / 11,43 X 30,48 m",Oui (2022),"3 750,14 pc /    348,4 mc",,Semi-creusée,"Allée (1), Garage (1)",Plinthes électriques,,,Thermopompe murale,,"Luminaires, lave-vaisselle, réfrigérateur, plaque de cuisson, cuisinière, stores, rideaux, piscine semi-creusée et ses accessoires, auvent en fibre de verre, cabanon et tempo (2014)",,"Superbe quadruplex de bonnes dimensions et bien entretenu au fil des ans avec grande cour aménagée offrant une vaste terrasse, une piscine semi-creusée et un cabanon récent. Idéal pour propriétaire occupant, l'unité du rez-de-chaussée se libérera pour l'acheteur. Bonne opportunité d'augmentation des loyers. Vous y retrouverez deux 3 1/2, un 4 1/2 et un 6 1/2. À seulement 5 minutes de marche de la station de métro Honoré-Beaugrand et près de tout les services..","REZ-DE-CHAUSSÉ*Grand logement disponible à l'acheteur*Aggrandisement de la cuisine en 1989 *Comptoires et ilot en granite *Cour de bonnes dimensions avec imposante terrasse. piscine semi-creusée et cabanon*Garage intégré et chauffé2e ÉTAGE*Deux logements 3 1/2 et 4 1/2*Balcon arrière de bonnes dimensionsSOUS-SOL*Grand 3 1/2*Bonne hauteur de plafonds*Espace de vie à aire ouverte*Bonne luminositéLOCALISATION*Accès rapide à l'autoroute 25 et 40 *À distance de marche de la station de métro Honoré-Beaugrand (5 minutes) offrant un accès facile au centre-ville*À quelques pas d'un arrêt d'autobus*Plusieurs restaurants à proximité sur la rue Sherbrooke Est*À seulement 4min de voiture de la Place Versailles et 8 minutes des Galeries d'Anjou.*Plusieurs garderies*École primaire de quartier Saint-Justin à seulement 400m *À 1km de l'école secondaire Louise-Trichet et 1,5km de l'école secondaire d'Anjou*À 400m du parc Thomas-Chapais (modules de jeux pour enfants, terrain de pétanque et une aire d'entrainement pour adultes)**Le RDC sera disponible à l'acheteur**",6.0,3.0,3+0
118,119,1 000 000 $,4,59 880 $,Quadruplex dans le quartier Nouveau-Rosemont construit en 1985,Jumelé,"36 X 49,10 p irr / 10,97 X 15,19 m irr",406 300 $,,513 500 $,,Oui (1998),"4 373,37 pc /    406,3 mc",,,Garage (2),Plinthes électriques,,,Climatiseur mural,"Fenestration - 2021 (  8 842 $), Revêtement de la toiture - 2020 (  11 612 $), Bac à fleurs intégré au bâtiment - 2020 (  3 512 $)","Le lave-vaisselle encastré, l'air climatisé mural, l'îlot central de la cuisine, les luminaires, les stores ainsi que les chauffe-eau.",,"Généreux Quadruplex incluant spacieuse aire ouverte, fenestration abondante, 3 salles de bain, possibilité de 4 chambres à coucher, un garage double, 2 terrasses ainsi qu'un splendide terrain paysager. Cette propriété bien entretenue est située dans un rond-point tranquille, mais près de l'effervescence d'un quartier très en demande avec tous les services. Parfait pour un propriétaire occupant ou pour un investisseur en quête de revenus. Une rareté dans le secteur! À qui la chance!!!",,11.0,4.0,2+1
119,120,700 000 $,2,39 600 $,Duplex dans le quartier Mercier construit en 1963,Jumelé,"31 X 38 p / 9,45 X 11,58 m",218 800 $,,458 400 $,"37,5 X 89,7 p / 11,40 X 27,31 m",Oui (1963),"3 363,72 pc /    312,5 mc",,,"Allée (1), Garage (1)",Eau chaude,,,,,"Stores et rideaux, luminaires, réfrigérateur et cuisinière au rez-de-chaussée, lit dans la chambre principale, ensemble de chambre dans la petite chambre, banc de travail dans le garage, cuisinière au sous-sol.",les réservoirs d'eau chaude de 1849 et 1851 sont loués de Hydro Solution,,,7.0,3.0,2+0
120,121,810 000 $,3,23 700 $,Triplex dans le quartier Mercier construit en 1961,Jumelé,"30,7 X 36,7 p / 9,32 X 11,15 m",218 900 $,,453 200 $,"37,6 X 89,9 p / 11,43 X 27,36 m",Oui (2012),"3 365,87 pc /    312,7 mc",,,"Allée (1), Garage (1)",Plinthes électriques,,,Thermopompe murale,,"Fixtures, lave-vaisselle, hotte micro-ondes, stores et toiles, lit mural, sofa du bachelor, thermopompe murale, ventilateur au plafond, installation du système d'alarme","Fixtures de la chambre d'enfant, rideaux et pôles dans les 3 chambres et le sous-sol","OPPORTUNITÉ OCCUPATION DOUBLE! Bienvenue au 1860-1862 Place Beauchesne! Magnifique triplex rénové avec garage, 3 chambres au RDC et au 2ième étage, planchers de bois, belle cour arrière avec jardin et grande terrasse. Nouveau terrassement avant en dalles de béton!! À proximité de la Promenade Bellerive, du fleuve, des axes routiers A25 et A40, du Tunnel H-Lafontaine, épiceries, écoles primaires et secondaires, de la maison de la Culture , bibliothèque et du métro H-Beaugrand. UNE VISITE VOUS CONVAINCRA !","RÉNOVATION MAJEURES AU FIL DES ANSToit 2012Cuisine RDC & 2eSalle de bain du RDC-2e-bachelorBalcons avant et arrière RDC-2e + terrasse RDCEscalier aluminium arrièreFenêtresPieutage et drain françaisTerrassement avantPorte de garageInsonorisationÀ PROXIMITÉAccès facile au centre-ville de MTLPistes cyclablesTransport en commun, Métro Honoré-BeaugrandAxes routiers A40 & A25- Tunnel H-LafontainePromenade Bellerive, parc, fleuve et navette fluvialeÉcoles primaires et secondairesÉpiceries, restos, commercesPiscine Annie-Pelletier Maison de la CulturelBibliothèque et plus encore...",7.0,3.0,1+0
121,122,725 000 $,3,50 400 $,Triplex dans le quartier Mercier construit en 1959,Isolé (détaché),"30 X 35 p irr / 9,14 X 10,67 m irr",284 500 $,,322 600 $,"50 X 86 p irr / 15,24 X 26,21 m irr",Oui (2011),"4 300 pc /    399,48 mc",,Creusée,Allée (3),,,,Climatiseur mural,,"rideaux, stores, climatiseur mural, système d'alarme RDC",,Superbe triplex pouvant être converti en quadruplex avec l'ajout d'un logement au sous-sol grâce à son entrée extérieure à l'arrière de la propriété (voir municipalité). Les 3 logements sont libres immédiatement. C'est ULTRA rare !!! Superbe cour arrière totalement aménagée avec piscine creusée et cabanon. Vous cherchez une propriété locative que vous souhaitez habiter ? La voici ! Notez que le logement du RDC a été transformé en 41/2 en utilisant 2 chambres pour en faire qu'une seule. Vous voulez un 51/2 au RDC ? Mes clients peuvent faire les travaux pour vous.,"Pour votre information, voici ce que nous avons tout prêt de notre propriété.Arrêt d'autobus à un coin de rue (Honoré Beaugrand) qui va jusqu'au métro Honoré Beaugrand sans transfert.La place Versailles est à une station de métro (Radisson). Il y a un IGA sur la rue Hochelaga et un centre d'achat rue Notre-Dame ( Pharmacie, Mc Donald, Métro plus, SAQ) à quelques pas.Le Parc de la promenade Bellerive est vraiment magnifique.Le triplex se situe entre la rue Hochelaga et la rue Notre-Dame. Sans voiture, vous pouvez très facilement vous déplacer via les systèmes de transports en communs (métro, autobus).",4.0,2.0,1+0
122,123,730 000 $,4,48 240 $,Quadruplex dans le quartier Hochelaga-Maisonneuve construit en 1910,En rangée sur coin,"25 X 50,1 p irr / 7,62 X 15,27 m irr",181 500 $,"319,9 pc /    29,72 mc",460 800 $,"25 X 97,8 p irr / 7,62 X 29,78 m irr",Oui (2020),"2 442,33 pc /    226,9 mc",,,Garage (2),Plinthes électriques,,,,,,Biens et effets personnels des locataires.,"Énorme potentiel! Quadruplex! Avec deux garages, beau semi-détaché inondé de lumière. Présentement deux appartements sont vacants; unité de 6.5 au dernier étage et unité de 4.5 au rez-de-chaussée. L'autre grande unité du deuxième étage se libèrera le 30 Juin 2022. Situé dans le plus beau secteur d'Hochelaga, à un coin de rue de la magnifique rue Adam et à quelques pas du Marché Maisonneuve. Plusieurs parcs et services sont à proximité!","WALK SCORE 69 et BIKE SCORE 99;Les Parcs Morgan, Champêtre et Ovila Pelletier sont à proximité..La superficie habitable indiquée sur cette fiche correspond à l' aire d 'étages inscrite sur le rôle foncier.Voir courtier inscripteur pour informations concernant l'appartement loué jusqu'au 30 Juin 2023.Immeuble nécessitant des travaux.",7.0,3.0,1+0
123,124,850 000 $,2,31 020 $,Duplex dans le quartier Hochelaga-Maisonneuve construit en 1910,En rangée sur coin,"25 X 40,3 p irr / 7,62 X 12,26 m irr",181 500 $,,219 200 $,,Oui (2021),"2 442,33 pc /    226,9 mc",,,,,,,,,"1620: lave-vaisselle ( non utilisé depuis 5 ans), pôles et rideaux, luminaires        1618: luminaires","1620: vitrail de la salle a manger, armoire bleu de la cuisine, lingerie en bois de la salle de bain, tablette en bois au dessus de l'évier de cuisine.                                       1618: Les biens des locataires.",,"*** RARETÉ ***  Magnifique duplex, idéal pour un propriétaire occupant.  Ce DUPLEX situé dans un secteur recherché de HOMA à été entretenu avec minutie au fils des ans. L'intérieur des appartements offre une belle luminosité avec sa fenestration sur 3 côtés.  Jolie cour arrière aménagée et clôturée menant à une ruelle verte familiale. À distance de marche du marché Maisonneuve et de plusieurs autres commodités et services.TRAVAUX MAJEURS EFFECTUÉS:2002: Mur de brique côté ruelle demonter et remonter2016: mur de brique avant2016: Conversion de l'immeuble en duplex.2016: logement du haut a été rénové.2017: Nouvelle toiture2018: Portes et fenêtres changées au complet2019: peinture de la corniche avant2020: peinture de l'escalier arrière2021: remplacement de 2 fers angles sur fenêtres côté ruelleLOCALISATION IDÉALE POUR UNE VIE URBAINE DANS HOMA- À 5 minutes de marche du Marché Maisonneuve et du Parc Ovila-Pelletier- À proximité du Jardin botanique, Parc Maisonneuve, Parc olympique, Stade Saputo, Cinéma StarCité, etc- Près des services et commodités de la Promenade Ontario - MÉTRO VIAU facilement accessible à la marche - À proximité de plusieurs stations d'AUTOBUS- Piste cyclable facilement accessible- Accès rapide aux grands axes routiers (720, 40, 25) et le Tunnel L-H Lafontaine** UN BIJOU À VISITER DANS UN QUARTIER EN PLEINE EFFERVESCENCE **Horaire des visites:Vendredi le 11 février: 12H00-15H00Samedi le 12 février: 11H00-16H00Dimanche le 13 février: 11h00-16H00",5.0,2.0,1+0
124,125,925 000 $,3,47 400 $,Triplex dans le quartier Hochelaga-Maisonneuve construit en 1929,En rangée sur coin,"19,9 X 50,5 p irr / 6,02 X 15,38 m irr",152 200 $,,382 800 $,"19,9 X 105 p / 6,02 X 32 m",Oui (2015),"2 047,29 pc /    190,2 mc",,,Allée (2),"Eau chaude, Plinthes électriques",,,,,3 chauffe eau,,"Triplex idéalement localisé en plein coeur du secteur Maisonneuve, à quelques pas du marché et de tous ses services. Ce Triplex a tout pour vous plaire. Immeuble semi-détaché vous offrant une fenestration sur 3 côtés. Magnifique cachet préservé tout en ayant bénéficié de plusieurs rénovations dans les dernières années. Le logement principal est libre à compter de juillet. Il compte un espace sous-sol idéal comme rangement. Excellents revenus, cour arrière et deux stationnements! Demandez vite une visite!","L'IMMEUBLE+ Immeuble avec énormément de fenestration et de cachet+ Fenêtres pvc changés il y a 2 ans+ Planchers bois franc+ 1 stationnement au RDC 1901 et 1 autre au dernier etage 1903+ cour privée exclusive au RDC et passage urgence pour les étages supérieurs+ SS Hauteur 6,3 non fini sur béton, membrane delta installée de l'intérieur+ Panneaux électriques récents 200 AMP (SS)+ Tous les chauffe-eau au SS+ Ruelle à côté très tranquilleRDC+ La locataire est là depuis 2 ans et quitte pour Juin 2022 elle a acheté un condo+ Chauffage eau chaude+ Plafonds 8,11+ Portes et moulures d'origine+ Beaucoup de cachet+ Laveuse/sécheuse au ssLA LOCALISATIONEXCELLENTE LOCALISATION+ Tout près des établissements scolaires St-Clément, Eulalie-Durocher, Saint-Nom-de-Jésus (Volet alternatif), École primaire Maisonneuve, Cégep de Maisonneuve et bien d'autres.+ Garderies et CPE à proximité+ À une minute à pied du magnifique Parc Morgan+ À 3 minutes à pied du Marché Maisonneuve et de la piscine municipale Morgan+ 2 épiceries bio et vrac (Biothentique et Marché 4751), point de chute de paniers LUFA au coin de la rue+ À proximité de la PROMENADE ONTARIO (épicerie, restaurants, pharmacie, banques, parcs, cafés, SAQ, CLSC, etc.)+ YMCA, CCSE, Jardin Botanique, Parc Maisonneuve, Parc Olympique, etc.+ Tout près de plusieurs arrêts d'autobus (Ste-Catherine, Ontario E)+ À 15 minutes de marche du métro Viau+ À quelques pas de 2 cases de stationnement Communauto (Marché Maisonneuve et coin Adam et St-Clément) + À 2 minutes d'une station de vélo Bixi (coin Bennett et Ste-Catherine)+ Accès rapide aux AXES ROUTIERS (720, 40, 25), PONT J-C, TUNNEL L-HFAQ?Pourquoi les clients vendent ? Les clients ont déménagé dans le west Island et leur emploi respectifs les tient très occupésTravaux à prévoir à court terme ? NonPourquoi la vente sans garantie légale? Suite à la recommandation du courtier inscripteur pour une tranquillité d'esprit",5.0,2.0,1+0
